"filename", "language", "HTML", "JavaScript", "CSS", "SCSS", "comment", "blank", "total"
"d:\Development\WEB\Projects\RavenBloom\Scss\_pack.scss", "SCSS", 0, 0, 0, 21, 7, 8, 36
"d:\Development\WEB\Projects\RavenBloom\Scss\cart.scss", "SCSS", 0, 0, 0, 114, 25, 34, 173
"d:\Development\WEB\Projects\RavenBloom\Scss\checkout.scss", "SCSS", 0, 0, 0, 151, 3, 32, 186
"d:\Development\WEB\Projects\RavenBloom\Scss\faq.scss", "SCSS", 0, 0, 0, 59, 0, 13, 72
"d:\Development\WEB\Projects\RavenBloom\Scss\home.scss", "SCSS", 0, 0, 0, 290, 22, 69, 381
"d:\Development\WEB\Projects\RavenBloom\Scss\login.scss", "SCSS", 0, 0, 0, 117, 8, 20, 145
"d:\Development\WEB\Projects\RavenBloom\Scss\privacy.scss", "SCSS", 0, 0, 0, 98, 3, 23, 124
"d:\Development\WEB\Projects\RavenBloom\Scss\profile.scss", "SCSS", 0, 0, 0, 47, 4, 10, 61
"d:\Development\WEB\Projects\RavenBloom\Scss\register.scss", "SCSS", 0, 0, 0, 95, 5, 22, 122
"d:\Development\WEB\Projects\RavenBloom\Scss\shop.scss", "SCSS", 0, 0, 0, 278, 8, 47, 333
"d:\Development\WEB\Projects\RavenBloom\Scss\style.scss", "SCSS", 0, 0, 0, 236, 12, 38, 286
"d:\Development\WEB\Projects\RavenBloom\TnC.html", "HTML", 89, 0, 0, 0, 4, 4, 97
"d:\Development\WEB\Projects\RavenBloom\aboutUs.html", "HTML", 86, 0, 0, 0, 6, 3, 95
"d:\Development\WEB\Projects\RavenBloom\cart.html", "HTML", 96, 0, 0, 0, 4, 3, 103
"d:\Development\WEB\Projects\RavenBloom\checkout.html", "HTML", 104, 0, 0, 0, 6, 4, 114
"d:\Development\WEB\Projects\RavenBloom\confirm.html", "HTML", 92, 0, 0, 0, 4, 3, 99
"d:\Development\WEB\Projects\RavenBloom\contact.html", "HTML", 92, 0, 0, 0, 4, 4, 100
"d:\Development\WEB\Projects\RavenBloom\faq.html", "HTML", 99, 0, 0, 0, 5, 3, 107
"d:\Development\WEB\Projects\RavenBloom\flower.html", "HTML", 142, 0, 0, 0, 12, 4, 158
"d:\Development\WEB\Projects\RavenBloom\index.html", "HTML", 128, 0, 0, 0, 14, 4, 146
"d:\Development\WEB\Projects\RavenBloom\js\checkout.js", "JavaScript", 0, 81, 0, 0, 8, 1, 90
"d:\Development\WEB\Projects\RavenBloom\js\faq.js", "JavaScript", 0, 52, 0, 0, 1, 6, 59
"d:\Development\WEB\Projects\RavenBloom\js\home.js", "JavaScript", 0, 51, 0, 0, 9, 4, 64
"d:\Development\WEB\Projects\RavenBloom\js\main.js", "JavaScript", 0, 17, 0, 0, 1, 5, 23
"d:\Development\WEB\Projects\RavenBloom\js\profile.js", "JavaScript", 0, 24, 0, 0, 0, 1, 25
"d:\Development\WEB\Projects\RavenBloom\js\shop.js", "JavaScript", 0, 97, 0, 0, 10, 3, 110
"d:\Development\WEB\Projects\RavenBloom\js\user.js", "JavaScript", 0, 29, 0, 0, 2, 0, 31
"d:\Development\WEB\Projects\RavenBloom\login.html", "HTML", 56, 0, 0, 0, 2, 0, 58
"d:\Development\WEB\Projects\RavenBloom\loginOld.html", "HTML", 64, 0, 0, 0, 4, 4, 72
"d:\Development\WEB\Projects\RavenBloom\privacyPolicy.html", "HTML", 89, 0, 0, 0, 4, 4, 97
"d:\Development\WEB\Projects\RavenBloom\profile.html", "HTML", 88, 0, 0, 0, 9, 4, 101
"d:\Development\WEB\Projects\RavenBloom\register.html", "HTML", 53, 0, 0, 0, 4, 4, 61
"d:\Development\WEB\Projects\RavenBloom\returnPolicy.html", "HTML", 84, 0, 0, 0, 4, 4, 92
"d:\Development\WEB\Projects\RavenBloom\style\cart.css", "CSS", 0, 0, 138, 0, 0, 2, 140
"d:\Development\WEB\Projects\RavenBloom\style\checkout.css", "CSS", 0, 0, 176, 0, 0, 1, 177
"d:\Development\WEB\Projects\RavenBloom\style\faq.css", "CSS", 0, 0, 67, 0, 0, 1, 68
"d:\Development\WEB\Projects\RavenBloom\style\home.css", "CSS", 0, 0, 308, 0, 0, 4, 312
"d:\Development\WEB\Projects\RavenBloom\style\login.css", "CSS", 0, 0, 146, 0, 0, 3, 149
"d:\Development\WEB\Projects\RavenBloom\style\privacy.css", "CSS", 0, 0, 113, 0, 0, 1, 114
"d:\Development\WEB\Projects\RavenBloom\style\profile.css", "CSS", 0, 0, 55, 0, 0, 2, 57
"d:\Development\WEB\Projects\RavenBloom\style\register.css", "CSS", 0, 0, 113, 0, 0, 3, 116
"d:\Development\WEB\Projects\RavenBloom\style\shop.css", "CSS", 0, 0, 296, 0, 0, 3, 299
"d:\Development\WEB\Projects\RavenBloom\style\style.css", "CSS", 0, 0, 251, 0, 0, 21, 272
"d:\Development\WEB\Projects\RavenBloom\tools.html", "HTML", 124, 0, 0, 0, 12, 3, 139
"Total", "-", 1486, 351, 1663, 1506, 226, 432, 5664
